1|1|Цао Цао:|«То, что именуется здесь расчетами, имеет отношение к назначению военачальников, определению силы противника, изучению свойств местности, оценке боеспособности войск и знанию путей их движения. Расчеты делаются в родовом храме государя (где в древности объявляли о начале военного похода. – Пер .)».
1|1|曹操曰∶|計者，選將、量敵、度地、料卒、遠近、險易，計於廟堂也。
1|3|Ли Цюань:|孫子曰：兵者，國之大事也。死生之地，存亡之道，不可不察也。
1|3|Цзя Линь:|孫子说：軍事，是國家的大事。地形的死生之勢(死地、生地)，戰場上的存亡勝敗，不可不加以了解。
1|3|李筌曰∶|兵者凶器，死生、存亡繋於此矣，是以重之，恐人輕行者也。
1|3|賈林曰∶|地，猶所也，亦謂陳師、振旅、戰陳之地。得其利則生，失其便則死，故曰死生之地。道者，權機立勝之道。得之則存，失之則亡，故曰不可不察也。《書》曰∶“有存道者，輔而固之；有亡道者，推而亡之。”
1|11|Цао Цао:|孙子说：军事，是一个国家的头等大事，关系到国家的生死存亡，一定要慎重研究。
1|11|Ду My:|孙子说：战争，是国家的大事。它关系到人民的死生，国家的存亡，不 能不认真考察研究。
1|11|Господин Мэн:|Sun Tzu said:  The art of war is of vital importance to the State. It is a matter of life and death, a road either to safety or to ruin.  Hence it is a subject of inquiry which can on no account be neglected.
1|11|Ван Си:|Master Sun said: Warfare is one of the major concerns of a state (it is the terrain determining life and death and the road leading to survival or destruction); it is imperative that it be examined.
1|11|Чжан Юй:|Master Sun said: War is a vital matter of state. It is the field on which life or death is determined and the road that leads to either survival or ruin, and must be examined with the greatest care.
1|11|曹操曰∶|謂道之以教令。危者，危疑也。
1|11|杜牧曰∶|“道者，仁義也。李斯問兵於荀卿，答曰：“彼仁義者，所以修政者也。政修則民親其上，樂其君，輕為之死。”復對趙孝成王論兵曰∶“百將一心，三軍同力。臣之於君也，下之於上也，若子之事父，弟之事兄，若手臂之捍頭目而覆胸臆也。”如此，始可令與上下同意，死生同致，不畏懼於危疑也。
