1|2-3|原文|«То, что именуется здесь расчетами, имеет отношение к назначению военачальников, определению силы противника, изучению свойств местности, оценке боеспособности войск и знанию путей их движения. Расчеты делаются в родовом храме государя (где в древности объявляли о начале военного похода. – Пер .)».
1|2-3|李零今譯|孫子曰：兵者，國之大事也。死生之地，存亡之道，不可不察也。
1|2-3|網絡今譯|孫子说：軍事，是國家的大事。地形的死生之勢(死地、生地)，戰場上的存亡勝敗，不可不加以了解。
1|2-3|二十二子|孙子说：军事，是一个国家的头等大事，关系到国家的生死存亡，一定要慎重研究。
1|2-3|Giles|孙子说：战争，是国家的大事。它关系到人民的死生，国家的存亡，不 能不认真考察研究。
1|2-3|Jens|Sun Tzu said:  The art of war is of vital importance to the State. It is a matter of life and death, a road either to safety or to ruin.  Hence it is a subject of inquiry which can on no account be neglected.
1|2-3|Ames|Master Sun said: Warfare is one of the major concerns of a state (it is the terrain determining life and death and the road leading to survival or destruction); it is imperative that it be examined.
1|2-3|Конрад|Master Sun said: War is a vital matter of state. It is the field on which life or death is determined and the road that leads to either survival or ruin, and must be examined with the greatest care.
1|2-3|Виногродский|Сунь-цзы сказал: война – это великое дело для государства, это почва жизни и смерти, это путь существования и гибели. Это нужно понять.
1|2-3|Малявин|Сунь-Цзы сказал: Война – дело государственной важности. Война решает вопросы смерти и жизни, там можно выжить, можно погибнуть. Нельзя до конца не разобраться в этом предмете.
1|4-9|原文|Сунь-цзы сказал: Война – это великое дело государства. Она есть причина жизни и смерти, путь существования и гибели, а потому относиться к ней нужно с великим тщанием.
1|4-9|李零今譯|«Оружие – это вещь, сулящая несчастья. Война – опаснейшее дело, и нельзя начинать ее необдуманно».
1|4-9|網絡今譯|«Тот, кто овладеет выгодами театра военных действий, будет жить, а тот, кто не воспользуется его преимуществами, погибнет. Путь здесь – это способ взвешивания сил и достижения победы».
1|4-9|二十二子|故輕（經）之以五，效（校）之以計，以索其請（情）：一曰道，二曰天，三曰地，四曰將，五曰法。
1|4-9|Giles|所以憑下述五項衡量，通過計算，加以核實，弄淸情況：一是道義，二是天時，三是地利，四是將領，五是法規。
1|4-9|Jens|通过五个方面的横向比较，得到详情：一是道，二是天，三是地，四是将，五是法。
1|4-9|Ames|所以用以下五项来衡量敌我，通过计算，进行比较，从而探求 胜败情形：一是道义，二是天时，三是地形，四是将领，五是法度。
1|4-9|Конрад|The art of war, then, is governed by five constant factors, to be taken into account in one's deliberations, when seeking to determine the conditions obtaining in the field. These are:  (1) The Moral Law; (2) Heaven; (3) Earth; (4) The Commander; (5) Method and discipline.
1|4-9|Виногродский|In order to probe the true nature [of a situation involving warfare] I order it according to the Five and make comparisons based on Calculations. The first is the Way, the second Heaven, the third Earth, the fourth the General, and the fifth the Law.
1|4-9|Малявин|Therefore, to gauge the outcome of war we must appraise the situation on the basis of the following five criteria, and compare the two sides by assessing their relative strengths. The first of the five criteria is the way (tao), the second is climate, the third is terrain, the fourth is command, and the fifth is regulation.
1|10-11|原文|Поэтому в ее основу кладут пять явлений, ее взвешивают семью расчетами и этим определяют положение. Первое – Путь, второе – Небо, третье – Земля, четвертое – Полководец, пятое – Закон.
1|10-11|李零今譯|Выделим пять основных разделов. Чтобы разобраться в положении дел на войне, нужно сопоставить и оценить сведения, полученные в этих разделах. Первый раздел – это состояние Пути. Второй – это состояние Неба. Третий – это состояние Земли. Четвертый – это состояние полководца. Пятый – это состояние законов.
1|10-11|網絡今譯|Основа военного искусства всегда определяется пятью обстоятельствами, и при составлении плана военных действий надлежит вникать в их сущность. Эти пять обстоятельств суть следующие: Во-первых – Путь, во-вторых – Небо, в-третьих – Земля, в-четвертых – Полководец, в- пятых – Правила.
1|10-11|二十二子|道者，令民與上同意者也，故可與之死，可與之生，民弗詭也。(而不畏危)
1|10-11|Giles|道義，是指使人民與國君同心同德， 可以和國君一起死，可以一起生，而绝不違背；
1|10-11|Jens|道，指上级和民众心志相通，可以同生共死，而不会惧怕危险；
1|10-11|Ames|道义，是使人民与君主同心同德，因而可以让他们拼死，可以让他 们求生，而他们不会违背。
1|10-11|Конрад|The Moral Law causes the people to be in complete accord with their ruler, so that they will follow him regardless of their lives, undismayed by any danger.
1|10-11|Виногродский|The Way is that which makes the people be of one mind with their ruler. Thus they is willing to die together with him as well as willing to live together with him, without being insubordinate.
1|10-11|Малявин|The way (tao) is what brings the thinking of the people in line with their superiors. Hence, you can send them to their deaths or let them live, and they will have no misgivings one way or the other.
1|12-13|原文|Путь – это когда достигают того, что мысли народа одинаковы с мыслями правителя, когда народ готов вместе с ним умереть, готов вместе с ним жить, когда он не знает ни страха, ни сомнений.
1|12-13|李零今譯|Путь выражается в единодушии народа и правительства. Когда оно есть, народ легко пойдет на смерть за правителя. Люди отдадут свои жизни по распоряжению правителей. В состоянии единодушия вообще нет страха.
1|12-13|網絡今譯|Путь – это когда добиваются такого положения, при котором помыслы народа совпадают с устремлениями правителя и народ готов и умереть с ним заодно, и жить с ним заодно, когда никто не страшится смертельной опасности.
1|12-13|二十二子|«Путем здесь именуется ведение людей посредством наставлений и приказов».
